event_id,event_name,polymarket_slug,kalshi_slug,home_team,away_team
0e1a99fa-34ae-4d60-9b38-22e5592b6ad2,Algeria vs Austria,fifwc-alg-aut-2026-06-27,kxwcgame-26jun27dzaaut,Algeria,Austria
ac0524c7-a556-4778-a3cf-5aaafdb8dafb,Argentina vs Algeria,fifwc-arg-alg-2026-06-16,kxwcgame-26jun16argdza,Argentina,Algeria
8f70c1d5-543d-4ed6-8229-f4e64246fcd4,Argentina vs Austria,fifwc-arg-aut-2026-06-22,kxwcgame-26jun22argaut,Argentina,Austria
83517f35-f70d-41ad-b885-267646fabbdc,Australia vs Turkey,fifwc-aus-tur-2026-06-14,null,Australia,Turkey
4347c585-035c-4177-9080-ec9d4d70cb3f,Austria vs Jordan,fifwc-aut-jor-2026-06-17,kxwcgame-26jun17autjor,Austria,Jordan
f50019b8-3bf4-4857-9f56-a4d4b50b88c9,Belgium vs Egypt,fifwc-bel-egy-2026-06-15,kxwcgame-26jun15belegy,Belgium,Egypt
91ff4efa-0117-40c7-95fb-857939deb273,Belgium vs Iran,fifwc-bel-irn-2026-06-21,kxwcgame-26jun21beliri,Belgium,Iran
e3253475-5862-4a7d-825d-1389a42f1965,Bosnia and Herzegovina vs Qatar,fifwc-bih-qat-2026-06-24,null,Bosnia and Herzegovina,Qatar
e3db5ff8-4b56-42d0-8032-9ad43c200713,Brazil vs Haiti,fifwc-bra-hai-2026-06-19,kxwcgame-26jun19brahti,Brazil,Haiti
4d2d560e-e91a-46a4-82af-5e4aa8ccbf0f,Brazil vs Morocco,fifwc-bra-mar-2026-06-13,kxwcgame-26jun13bramar,Brazil,Morocco
79ff99f9-0114-4f1c-a60a-059cee15533e,Canada vs Bosnia and Herzegovina,fifwc-can-bih-2026-06-12,null,Canada,Bosnia and Herzegovina
410b191a-86c7-4140-bcb0-12e51d66e9b3,Canada vs Qatar,fifwc-can-qat-2026-06-18,kxwcgame-26jun18canqat,Canada,Qatar
694ba486-7250-412a-b1c7-23feea4445d4,Cape Verde vs Saudi Arabia,fifwc-cvi-ksa-2026-06-26,kxwcgame-26jun26cpvksa,Cape Verde,Saudi Arabia
74cd7e03-bfbc-4908-b57b-e6a09ca7989b,Colombia vs DR Congo,fifwc-col-cdr-2026-06-23,null,Colombia,DR Congo
f15196fc-0f8b-4a5b-b0b5-a005968ef5cb,Colombia vs Portugal,fifwc-col-prt-2026-06-27,kxwcgame-26jun27colpor,Colombia,Portugal
908046d0-f324-4cc4-b34d-b284e033b578,Croatia vs Ghana,fifwc-hrv-gha-2026-06-27,kxwcgame-26jun27crogha,Croatia,Ghana
d7cdbacd-c0c4-4008-8adc-2f06a7d96be4,Curacao vs Ivory Coast,fifwc-kor-civ-2026-06-25,kxwcgame-26jun25cuwciv,Curaçao,Ivory Coast
ca583556-1ff1-41f9-b675-bfdf13aacdcf,Czech Republic vs Mexico,fifwc-cze-mex-2026-06-24,null,Czech Republic,Mexico
